1917	5.98	219	1.45	0.03	1.96	0.02%	0.00000000	h_value=40 	sigma_calc=10 	seq_limit=5 	k2_val=0.6 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4852	5.94	298	1.31	0.02	2.89	0.03%	0.00000000	h_value=45 	sigma_calc=12 	seq_limit=6 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2385	5.94	298	1.31	0.02	2.89	0.03%	0.00000000	h_value=45 	sigma_calc=12 	seq_limit=6 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6911	5.89	236	1.39	0.02	2.04	0.02%	0.00000000	h_value=40 	sigma_calc=12 	seq_limit=6 	k2_val=0.6 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4444	5.89	236	1.39	0.02	2.04	0.02%	0.00000000	h_value=40 	sigma_calc=12 	seq_limit=6 	k2_val=0.6 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1977	5.89	236	1.39	0.02	2.04	0.02%	0.00000000	h_value=40 	sigma_calc=12 	seq_limit=6 	k2_val=0.6 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4733	5.85	444	1.19	0.01	4.02	0.04%	0.00000000	h_value=70 	sigma_calc=10 	seq_limit=4 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2266	5.85	444	1.19	0.01	4.02	0.04%	0.00000000	h_value=70 	sigma_calc=10 	seq_limit=4 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6546	5.83	171	1.60	0.03	1.88	0.02%	0.00000000	h_value=75 	sigma_calc=12 	seq_limit=6 	k2_val=0.5 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4079	5.83	171	1.60	0.03	1.88	0.02%	0.00000000	h_value=75 	sigma_calc=12 	seq_limit=6 	k2_val=0.5 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1612	5.83	171	1.60	0.03	1.88	0.02%	0.00000000	h_value=75 	sigma_calc=12 	seq_limit=6 	k2_val=0.5 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6539	5.83	177	1.60	0.03	2.13	0.02%	0.00000000	h_value=40 	sigma_calc=12 	seq_limit=6 	k2_val=0.5 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4072	5.83	177	1.60	0.03	2.13	0.02%	0.00000000	h_value=40 	sigma_calc=12 	seq_limit=6 	k2_val=0.5 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1605	5.83	177	1.60	0.03	2.13	0.02%	0.00000000	h_value=40 	sigma_calc=12 	seq_limit=6 	k2_val=0.5 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4666	5.82	432	1.19	0.01	3.99	0.04%	0.00000000	h_value=45 	sigma_calc=8 	seq_limit=3 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2199	5.82	432	1.19	0.01	3.99	0.04%	0.00000000	h_value=45 	sigma_calc=8 	seq_limit=3 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4867	5.79	378	1.22	0.02	3.52	0.04%	0.00000000	h_value=65 	sigma_calc=13 	seq_limit=6 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2400	5.79	378	1.22	0.02	3.52	0.04%	0.00000000	h_value=65 	sigma_calc=13 	seq_limit=6 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4863	5.78	391	1.22	0.01	3.56	0.04%	0.00000000	h_value=45 	sigma_calc=13 	seq_limit=6 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2396	5.78	391	1.22	0.01	3.56	0.04%	0.00000000	h_value=45 	sigma_calc=13 	seq_limit=6 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6469	5.78	211	1.49	0.03	2.40	0.02%	0.00000000	h_value=75 	sigma_calc=11 	seq_limit=5 	k2_val=0.5 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4002	5.78	211	1.49	0.03	2.40	0.02%	0.00000000	h_value=75 	sigma_calc=11 	seq_limit=5 	k2_val=0.5 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1535	5.78	211	1.49	0.03	2.40	0.02%	0.00000000	h_value=75 	sigma_calc=11 	seq_limit=5 	k2_val=0.5 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4654	5.77	309	1.28	0.02	2.58	0.03%	0.00000000	h_value=40 	sigma_calc=7 	seq_limit=3 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2187	5.77	309	1.28	0.02	2.58	0.03%	0.00000000	h_value=40 	sigma_calc=7 	seq_limit=3 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6287	5.77	253	1.38	0.02	2.18	0.02%	0.00000000	h_value=70 	sigma_calc=8 	seq_limit=3 	k2_val=0.5 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
3820	5.77	253	1.38	0.02	2.18	0.02%	0.00000000	h_value=70 	sigma_calc=8 	seq_limit=3 	k2_val=0.5 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1353	5.77	253	1.38	0.02	2.18	0.02%	0.00000000	h_value=70 	sigma_calc=8 	seq_limit=3 	k2_val=0.5 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6797	5.75	176	1.53	0.03	2.03	0.02%	0.00000000	h_value=55 	sigma_calc=8 	seq_limit=4 	k2_val=0.6 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4330	5.75	176	1.53	0.03	2.03	0.02%	0.00000000	h_value=55 	sigma_calc=8 	seq_limit=4 	k2_val=0.6 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1863	5.75	176	1.53	0.03	2.03	0.02%	0.00000000	h_value=55 	sigma_calc=8 	seq_limit=4 	k2_val=0.6 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6361	5.70	137	1.83	0.04	1.00	0.01%	0.00000000	h_value=55 	sigma_calc=8 	seq_limit=4 	k2_val=0.5 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
3894	5.70	137	1.83	0.04	1.00	0.01%	0.00000000	h_value=55 	sigma_calc=8 	seq_limit=4 	k2_val=0.5 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1427	5.70	137	1.83	0.04	1.00	0.01%	0.00000000	h_value=55 	sigma_calc=8 	seq_limit=4 	k2_val=0.5 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4655	5.69	311	1.27	0.02	2.82	0.03%	0.00000000	h_value=45 	sigma_calc=7 	seq_limit=3 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2188	5.69	311	1.27	0.02	2.82	0.03%	0.00000000	h_value=45 	sigma_calc=7 	seq_limit=3 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6360	5.68	140	1.82	0.04	1.26	0.01%	0.00000000	h_value=50 	sigma_calc=8 	seq_limit=4 	k2_val=0.5 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
3893	5.68	140	1.82	0.04	1.26	0.01%	0.00000000	h_value=50 	sigma_calc=8 	seq_limit=4 	k2_val=0.5 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
