275	8.15	395	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=9 	momentum_diff=0 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
296	8.01	393	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=5 	momentum_diff=1 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
282	7.81	361	1.19	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=1 	momentum_diff=1 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
488	7.81	359	1.18	0.02	9.66	0.10%	0.00000000	h1_value=52 	h_momentum=9 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
481	7.81	359	1.18	0.02	9.66	0.10%	0.00000000	h1_value=52 	h_momentum=7 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
474	7.81	359	1.18	0.02	9.66	0.10%	0.00000000	h1_value=52 	h_momentum=5 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
467	7.81	359	1.18	0.02	9.66	0.10%	0.00000000	h1_value=52 	h_momentum=3 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
460	7.81	359	1.18	0.02	9.66	0.10%	0.00000000	h1_value=52 	h_momentum=1 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
453	7.81	359	1.18	0.02	9.66	0.10%	0.00000000	h1_value=52 	h_momentum=9 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
446	7.81	359	1.18	0.02	9.66	0.10%	0.00000000	h1_value=52 	h_momentum=7 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
439	7.81	359	1.18	0.02	9.66	0.10%	0.00000000	h1_value=52 	h_momentum=5 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
432	7.81	359	1.18	0.02	9.66	0.10%	0.00000000	h1_value=52 	h_momentum=3 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
425	7.81	359	1.18	0.02	9.66	0.10%	0.00000000	h1_value=52 	h_momentum=1 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
