1557	19946.54	40	3.02	498.66	5313.45	24.72%	0.00000000	MaximumRisk=0.07 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
9400	19920.16	42	1.96	474.29	10685.98	41.89%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-8 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
1568	19831.82	32	3.50	619.74	4431.02	20.03%	0.00000000	MaximumRisk=0.08 	h_williamsS=70 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
1700	19783.97	34	1.95	581.88	12557.12	47.14%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10518	19765.89	30	2.48	658.86	9659.32	38.45%	0.00000000	MaximumRisk=0.08 	h_williamsS=50 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13739	19752.53	31	2.38	637.18	13237.80	43.67%	0.00000000	MaximumRisk=0.09 	h_williamsS=50 	h_williamsL=30 	williams_thresholdS=-2 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10870	19577.72	28	2.38	699.20	8626.37	34.14%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-2 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
8120	19481.64	17	5.34	1145.98	5816.70	29.15%	0.00000000	MaximumRisk=0.1 	h_williamsS=150 	h_williamsL=90 	williams_thresholdS=-2 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10388	19384.69	30	3.33	646.16	6606.22	22.44%	0.00000000	MaximumRisk=0.08 	h_williamsS=70 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
4497	19343.62	38	3.14	509.04	5667.68	24.84%	0.00000000	MaximumRisk=0.07 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-84	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
4640	19328.31	33	2.00	585.71	12557.12	46.54%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-84	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7930	19109.14	29	2.24	658.94	9176.27	34.83%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-2 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7569	19101.89	37	1.85	516.27	14748.12	47.50%	0.00000000	MaximumRisk=0.09 	h_williamsS=30 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10450	19054.40	31	1.99	614.66	12557.12	47.09%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=70 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7380	19024.95	34	2.51	559.56	9085.14	30.86%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=30 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10377	18982.53	36	2.87	527.29	5667.68	24.71%	0.00000000	MaximumRisk=0.07 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13459	18881.92	28	2.37	674.35	9841.38	43.43%	0.00000000	MaximumRisk=0.09 	h_williamsS=50 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
