42	-7.32	211	0.87	-0.03	12.55	0.13%	0.00000000	h1_value=15 	h_williamsS=30 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
43	-9.24	202	0.83	-0.05	13.83	0.14%	0.00000000	h1_value=20 	h_williamsS=30 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
44	-10.26	194	0.81	-0.05	14.98	0.15%	0.00000000	h1_value=25 	h_williamsS=30 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
45	-11.15	185	0.79	-0.06	15.62	0.16%	0.00000000	h1_value=30 	h_williamsS=30 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
46	-10.19	174	0.80	-0.06	14.50	0.14%	0.00000000	h1_value=35 	h_williamsS=30 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
47	-9.02	159	0.81	-0.06	14.05	0.14%	0.00000000	h1_value=40 	h_williamsS=30 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
48	-8.68	151	0.81	-0.06	14.84	0.15%	0.00000000	h1_value=45 	h_williamsS=30 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
49	-11.95	141	0.74	-0.08	16.04	0.16%	0.00000000	h1_value=50 	h_williamsS=30 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
50	-11.31	131	0.74	-0.09	15.67	0.16%	0.00000000	h1_value=55 	h_williamsS=30 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
51	-9.45	206	0.83	-0.05	13.49	0.13%	0.00000000	h1_value=10 	h_williamsS=35 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
