1758	1.55	513	1.02	0.00	11.03	0.11%	0.00000000	h1_value=38 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1759	1.88	510	1.03	0.00	11.09	0.11%	0.00000000	h1_value=40 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1760	2.25	509	1.03	0.00	10.65	0.11%	0.00000000	h1_value=42 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1761	1.47	505	1.02	0.00	11.43	0.11%	0.00000000	h1_value=44 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1762	1.47	504	1.02	0.00	11.44	0.11%	0.00000000	h1_value=46 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1763	0.20	498	1.00	0.00	12.35	0.12%	0.00000000	h1_value=48 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1764	0.26	496	1.00	0.00	12.29	0.12%	0.00000000	h1_value=50 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1765	7.95	653	1.10	0.01	7.27	0.07%	0.00000000	h1_value=10 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1766	10.08	590	1.13	0.02	5.70	0.06%	0.00000000	h1_value=12 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1767	7.41	527	1.11	0.01	5.93	0.06%	0.00000000	h1_value=14 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1768	6.16	490	1.09	0.01	7.00	0.07%	0.00000000	h1_value=16 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1769	9.03	459	1.15	0.02	6.17	0.06%	0.00000000	h1_value=18 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1770	8.04	430	1.14	0.02	6.13	0.06%	0.00000000	h1_value=20 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1771	3.27	406	1.06	0.01	6.12	0.06%	0.00000000	h1_value=22 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1772	3.57	389	1.07	0.01	5.74	0.06%	0.00000000	h1_value=24 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1773	3.26	372	1.06	0.01	6.38	0.06%	0.00000000	h1_value=26 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1774	1.46	361	1.03	0.00	6.56	0.07%	0.00000000	h1_value=28 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1775	0.06	349	1.00	0.00	7.32	0.07%	0.00000000	h1_value=30 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1776	1.19	338	1.02	0.00	6.48	0.06%	0.00000000	h1_value=32 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1777	3.17	327	1.07	0.01	6.03	0.06%	0.00000000	h1_value=34 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1778	3.71	314	1.08	0.01	6.56	0.07%	0.00000000	h1_value=36 	h_williamsS=5 	williams_thresholdS=-8	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
