trade;call wrate;put wrate;;;net
514;0.6;0.67;600;670;4280
515;0.6;0.67;600;670;4360
516;0.6;0.67;600;670;4260
517;0.59;0.67;590;670;4340
518;0.59;0.67;590;670;4420
519;0.59;0.67;590;670;4320
520;0.59;0.67;590;670;4220
521;0.59;0.66;590;660;4300
522;0.59;0.66;590;660;4200
523;0.59;0.66;590;660;4100
524;0.58;0.66;580;660;4000
525;0.57;0.66;570;660;4080
526;0.57;0.66;570;660;3980
527;0.57;0.66;570;660;3880
528;0.56;0.66;560;660;3780
529;0.56;0.66;560;660;3680
530;0.56;0.66;560;660;3760
531;0.56;0.65;560;650;3840
532;0.56;0.65;560;650;3920
533;0.56;0.65;560;650;3820
534;0.56;0.64;560;640;3900
535;0.56;0.64;560;640;3980
536;0.56;0.64;560;640;3880
537;0.56;0.64;560;640;3960
538;0.56;0.64;560;640;3860
539;0.56;0.64;560;640;3940
540;0.56;0.64;560;640;3840
541;0.56;0.65;560;650;3920
542;0.56;0.66;560;660;4000
543;0.56;0.66;560;660;3900
544;0.56;0.65;560;650;3800
545;0.56;0.65;560;650;3880
546;0.56;0.66;560;660;3960
547;0.56;0.66;560;660;3860
548;0.56;0.65;560;650;3940
549;0.56;0.65;560;650;3840
550;0.55;0.65;550;650;3740
551;0.55;0.65;550;650;3820
552;0.55;0.65;550;650;3900
553;0.54;0.65;540;650;3800
554;0.53;0.65;530;650;3700
555;0.52;0.65;520;650;3780
556;0.52;0.66;520;660;3680
557;0.52;0.66;520;660;3760
558;0.52;0.66;520;660;3840
559;0.52;0.67;520;670;3740
560;0.52;0.66;520;660;3820
561;0.52;0.66;520;660;3720
562;0.53;0.66;530;660;3800
563;0.53;0.66;530;660;3880
564;0.53;0.66;530;660;3960
565;0.53;0.66;530;660;3860
566;0.52;0.66;520;660;3940
567;0.52;0.66;520;660;4020
568;0.52;0.65;520;650;3920
569;0.53;0.65;530;650;4000
570;0.53;0.65;530;650;3900
571;0.53;0.65;530;650;3980
572;0.53;0.64;530;640;4060
573;0.53;0.65;530;650;3960
574;0.53;0.64;530;640;4040
575;0.53;0.65;530;650;3940
576;0.53;0.64;530;640;4020
577;0.53;0.64;530;640;4100
578;0.53;0.64;530;640;4180
579;0.53;0.64;530;640;4260
580;0.53;0.64;530;640;4160
581;0.53;0.64;530;640;4060
582;0.53;0.64;530;640;3960
583;0.53;0.64;530;640;4040
584;0.53;0.64;530;640;4120
585;0.53;0.64;530;640;4020
586;0.53;0.63;530;630;4100
587;0.54;0.63;540;630;4180
588;0.54;0.63;540;630;4080
589;0.54;0.63;540;630;4160
590;0.53;0.63;530;630;4240
591;0.53;0.63;530;630;4320
592;0.54;0.63;540;630;4220
593;0.54;0.64;540;640;4300
594;0.54;0.64;540;640;4200
595;0.54;0.64;540;640;4100
596;0.54;0.63;540;630;4000
597;0.53;0.63;530;630;3900
598;0.53;0.62;530;620;3980
599;0.53;0.62;530;620;3880
600;0.53;0.63;530;630;3960
601;0.53;0.63;530;630;4040
602;0.53;0.64;530;640;3940
603;0.53;0.64;530;640;4020
604;0.54;0.64;540;640;4100
605;0.54;0.63;540;630;4000
606;0.54;0.63;540;630;4080
607;0.54;0.63;540;630;3980
608;0.54;0.62;540;620;3880
609;0.54;0.61;540;610;3780
610;0.53;0.61;530;610;3860
611;0.53;0.61;530;610;3760
612;0.53;0.61;530;610;3660
613;0.53;0.6;530;600;3740
614;0.53;0.6;530;600;3640
615;0.53;0.6;530;600;3540
616;0.52;0.6;520;600;3440
617;0.51;0.6;510;600;3340
618;0.51;0.6;510;600;3240
619;0.51;0.6;510;600;3140
620;0.51;0.6;510;600;3220
