,0
1411,5000.5
1412,4993.0
1413,4938.5
1414,4940.0
1415,4951.5
1416,4981.0
1417,4971.5
1418,5001.0
1419,5017.5
1420,5016.0
1421,5003.5
1422,4915.0
1423,4889.5
1424,4957.0
1425,4966.5
1426,5014.0
1427,4955.5
1428,4922.0
1429,4905.5
1430,4889.0
1431,4856.5
1432,4830.0
1433,4890.5
1434,4896.0
1435,4891.5
1436,4894.0
1437,4901.5
1438,4919.0
1439,4922.5
1440,4976.0
1441,4983.5
1442,5038.0
1443,5085.5
1444,5131.0
1445,5080.5
1446,5133.0
1447,5213.5
1448,5231.0
1449,5459.5
1450,5538.0
1451,5622.5
1452,5745.0
1453,5898.5
1454,5792.0
1455,5895.5
1456,6011.0
1457,6123.5
1458,5997.0
1459,5939.5
1460,6030.0
1461,6034.5
1462,6032.0
1463,6030.5
1464,5957.0
1465,5972.5
1466,5958.0
1467,5957.5
1468,5959.0
1469,5883.5
1470,5901.0
1471,5956.5
1472,6009.0
1473,6020.5
1474,6079.0
1475,6091.5
1476,6038.0
1477,6056.5
1478,6061.0
1479,6061.5
1480,6087.0
1481,6031.5
1482,6044.0
1483,6058.5
1484,6129.0
1485,6108.5
1486,6139.0
1487,6160.5
1488,6185.0
1489,6204.5
1490,6276.0
1491,6279.5
1492,6278.0
1493,6274.5
1494,6277.0
1495,6328.5
1496,6343.0
1497,6347.5
1498,6301.0
1499,6246.5
1500,6254.0
1501,6199.5
1502,6173.0
1503,6177.5
1504,6201.0
1505,6275.5
1506,6300.0
1507,6207.5
1508,6218.0
1509,6137.5
1510,6171.0
1511,6086.5
1512,6111.0
1513,6066.5
1514,5979.0
1515,6003.5
1516,6025.0
1517,5999.5
1518,5997.0
1519,5930.5
1520,5966.0
1521,5929.5
1522,5902.0
1523,5915.5
1524,5903.0
1525,5895.5
1526,5944.0
1527,5997.5
1528,6006.0
1529,5980.5
1530,6037.0
1531,6089.5
1532,6109.0
1533,6133.5
1534,6135.0
1535,6106.5
1536,6128.0
1537,6149.5
1538,6151.0
1539,6186.5
1540,6208.0
1541,6229.5
1542,6202.0
1543,6197.5
1544,6230.0
1545,6285.5
1546,6338.0
1547,6344.5
1548,6349.0
1549,6303.5
1550,6335.0
1551,6288.5
1552,6327.0
1553,6328.5
1554,6287.0
1555,6252.5
1556,6333.0
1557,6333.5
1558,6359.0
1559,6271.5
1560,6199.0
1561,6173.5
1562,6173.0
1563,6155.5
1564,6118.0
1565,6057.5
1566,6021.0
1567,6014.5
1568,5976.0
1569,5939.5
1570,5979.0
1571,6013.5
1572,6051.0
1573,6054.5
1574,6074.0
1575,6032.5
1576,6054.0
1577,6012.5
1578,6032.0
1579,6031.5
1580,6065.0
1581,6100.5
1582,6101.0
1583,6141.5
1584,6096.0
1585,6118.5
1586,6146.0
1587,6138.5
1588,6160.0
1589,6168.5
1590,6189.0
1591,6177.5
1592,6168.0
1593,6215.5
1594,6178.0
1595,6123.5
1596,6166.0
1597,6162.5
1598,6186.0
1599,6187.5
1600,6154.0
1601,6183.5
1602,6209.0
1603,6160.5
1604,6121.0
1605,6119.5
1606,6126.0
