110	31.77	391	1.56	0.08	12.66	0.13%	0.00000000	wrate_lookback=100 	k_delta_calc=0.2 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
85	31.77	391	1.56	0.08	12.66	0.13%	0.00000000	wrate_lookback=100 	k_delta_calc=0.2 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
60	31.77	391	1.56	0.08	12.66	0.13%	0.00000000	wrate_lookback=100 	k_delta_calc=0.2 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
71	31.32	294	1.76	0.11	6.56	0.07%	0.00000000	wrate_lookback=20 	k_delta_calc=0.8 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
96	31.07	270	1.78	0.12	11.30	0.11%	0.00000000	wrate_lookback=20 	k_delta_calc=0.8 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
31	30.29	343	1.57	0.09	9.56	0.10%	0.00000000	wrate_lookback=20 	k_delta_calc=0.2 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
6	30.29	343	1.57	0.09	9.56	0.10%	0.00000000	wrate_lookback=20 	k_delta_calc=0.2 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
17	30.12	347	1.56	0.09	6.87	0.07%	0.00000000	wrate_lookback=40 	k_delta_calc=0.6 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
107	29.93	311	1.60	0.10	6.86	0.07%	0.00000000	wrate_lookback=40 	k_delta_calc=0.2 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
82	29.93	311	1.60	0.10	6.86	0.07%	0.00000000	wrate_lookback=40 	k_delta_calc=0.2 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
123	29.88	272	1.72	0.11	6.17	0.06%	0.00000000	wrate_lookback=60 	k_delta_calc=0.8 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
57	29.57	312	1.60	0.09	6.86	0.07%	0.00000000	wrate_lookback=40 	k_delta_calc=0.2 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
