33	42.97	744	1.23	0.06	18.19	0.18%	0.00000000	k1_value=60 	k1_ma=25	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
34	38.66	697	1.25	0.06	10.25	0.10%	0.00000000	k1_value=10 	k1_ma=35	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
35	40.62	622	1.29	0.07	16.39	0.16%	0.00000000	k1_value=15 	k1_ma=35	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
36	48.60	591	1.37	0.08	10.77	0.11%	0.00000000	k1_value=20 	k1_ma=35	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
37	35.19	600	1.25	0.06	13.30	0.13%	0.00000000	k1_value=25 	k1_ma=35	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
38	36.91	599	1.25	0.06	14.52	0.14%	0.00000000	k1_value=30 	k1_ma=35	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
39	42.45	614	1.29	0.07	11.77	0.12%	0.00000000	k1_value=35 	k1_ma=35	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
40	39.13	633	1.26	0.06	11.77	0.12%	0.00000000	k1_value=40 	k1_ma=35	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
41	40.13	652	1.25	0.06	12.46	0.12%	0.00000000	k1_value=45 	k1_ma=35	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
42	41.24	672	1.25	0.06	17.13	0.17%	0.00000000	k1_value=50 	k1_ma=35	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
43	42.86	681	1.26	0.06	15.75	0.16%	0.00000000	k1_value=55 	k1_ma=35	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
44	38.14	687	1.22	0.06	15.25	0.15%	0.00000000	k1_value=60 	k1_ma=35	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
45	20.44	694	1.12	0.03	20.93	0.21%	0.00000000	k1_value=10 	k1_ma=45	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
46	15.26	614	1.09	0.02	18.43	0.18%	0.00000000	k1_value=15 	k1_ma=45	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
47	23.22	589	1.15	0.04	18.43	0.18%	0.00000000	k1_value=20 	k1_ma=45	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
48	27.29	581	1.19	0.05	13.64	0.14%	0.00000000	k1_value=25 	k1_ma=45	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
49	29.30	568	1.20	0.05	16.76	0.17%	0.00000000	k1_value=30 	k1_ma=45	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
50	36.10	569	1.25	0.06	13.52	0.13%	0.00000000	k1_value=35 	k1_ma=45	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
51	29.01	573	1.19	0.05	13.63	0.14%	0.00000000	k1_value=40 	k1_ma=45	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
52	32.28	579	1.22	0.06	13.67	0.14%	0.00000000	k1_value=45 	k1_ma=45	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
